frame_count,mean_iou,median_iou,success_auc,mean_normalized_center_error,median_normalized_center_error,update_success_rate,longest_low_iou_streak_frames,first_failure_frame,time_to_first_failure_sec,success_rate_iou_025,success_rate_iou_050,success_rate_iou_075,video_stem,tracker_name,variant_name,ratio,target_bitrate_bps,actual_bitrate_bps
863,0.6321975653153887,0.6709705498331641,0.6390803195706531,0.058612120095200365,0.06290424152776299,1.0,0,-1,,0.9733487833140209,0.6025492468134415,0.440324449594438,ducks,csrt,r0p04,0.04,3458407,3236155
863,0.7004322690994981,0.7558405724594837,0.7112276635969994,0.055160659307640345,0.04198445397898598,1.0,0,-1,,1.0,0.816917728852839,0.5144843568945539,ducks,csrt,r0p02,0.02,1729203,1692841
863,0.3503268458805418,0.0,0.3534183082271147,0.6474101025017985,1.0,0.35341830822711473,464,108,3.6036,0.35341830822711473,0.35341830822711473,0.35341830822711473,ducks,kcf,r0p3,0.3,25938055,25708291
863,0.3392362134471784,0.0,0.34494114777093365,0.6526413543131928,1.0,0.3499420625724218,464,108,3.6036,0.3499420625724218,0.3499420625724218,0.3499420625724218,ducks,kcf,r0p15,0.15,12969027,13030742
863,0.2109699221151668,0.0,0.2149173629322437,0.7857780928694915,1.0,0.21552723059096177,583,108,3.6036,0.21552723059096177,0.21552723059096177,0.21552723059096177,ducks,kcf,r0p08,0.08,6916814,6942154
863,0.20715055937702062,0.0,0.2115021040434226,0.7865764996616853,1.0,0.21668597914252608,583,108,3.6036,0.21668597914252608,0.21668597914252608,0.21668597914252608,ducks,kcf,r0p04,0.04,3458407,3236155
863,0.3060972595641882,0.0,0.31274013539062023,0.6773323914905465,1.0,0.373117033603708,464,89,2.9696333333333333,0.3290845886442642,0.3290845886442642,0.3290845886442642,ducks,kcf,r0p02,0.02,1729203,1692841
321,0.9422518487932763,0.9604624892019403,0.970814887686506,0.009665634318831013,0.004844980836797001,0.9968847352024922,1,-1,,0.9968847352024922,0.9937694704049844,0.9906542056074766,runner_dog,csrt,r0p3,0.3,9249607,9398107
321,0.8845760206475983,0.9242724867724867,0.9062141334645023,0.014173091667885865,0.009247118866417154,0.9968847352024922,1,-1,,0.9937694704049844,0.9906542056074766,0.8722741433021807,runner_dog,csrt,r0p15,0.15,4624803,4858907
321,0.6308788946893245,0.6498004419962398,0.6399409739301525,0.015604786466369855,0.008585765426162907,0.9968847352024922,1,-1,,0.9968847352024922,0.7975077881619937,0.19937694704049844,runner_dog,csrt,r0p08,0.08,2466562,2707057
321,0.7775749648734035,0.789656862745098,0.7935727168388261,0.0341254214740152,0.02459373686577442,0.9968847352024922,1,-1,,0.9937694704049844,0.9688473520249221,0.6510903426791277,runner_dog,csrt,r0p04,0.04,1233281,1343593
321,0.6237598328308849,0.7725627376425855,0.6371536317429086,0.24273158053693028,0.03181313732914361,0.778816199376947,71,250,8.341666666666667,0.778816199376947,0.778816199376947,0.6230529595015576,runner_dog,csrt,r0p02,0.02,616640,854955
321,0.983977096403551,0.9932885906040269,0.9921298573536644,0.00612492634111297,0.003021644509175606,0.9968847352024922,1,-1,,0.9968847352024922,0.9968847352024922,0.9968847352024922,runner_dog,kcf,r0p3,0.3,9249607,9398107
321,0.9479088773829484,0.9866220735785953,0.9586817511067388,0.015592199078071528,0.003021644509175606,0.9968847352024922,1,-1,,0.9968847352024922,0.9968847352024922,0.9034267912772586,runner_dog,kcf,r0p15,0.15,4624803,4858907
321,0.8889115313531827,0.9667982038372568,0.9042465978029185,0.033582425133327445,0.009555278928336467,0.9968847352024922,1,-1,,0.9968847352024922,0.9003115264797508,0.8442367601246106,runner_dog,kcf,r0p08,0.08,2466562,2707057
321,0.6382093230260757,0.7550491763467844,0.6505984587637318,0.25440575334813664,0.05701227457469021,0.778816199376947,71,250,8.341666666666667,0.778816199376947,0.778816199376947,0.5109034267912772,runner_dog,kcf,r0p04,0.04,1233281,1343593
321,0.6255776755286633,0.7590361445783133,0.6399409739301524,0.25756461767015065,0.0577284372908045,0.778816199376947,71,250,8.341666666666667,0.778816199376947,0.778816199376947,0.5607476635514018,runner_dog,kcf,r0p02,0.02,616640,854955
869,0.45618370457833707,0.552811218143126,0.45945127490763743,0.05993913686440007,0.029716223169444132,1.0,290,579,19.319300000000002,0.6214039125431531,0.5408515535097813,0.2094361334867664,sailboats,csrt,r0p3,0.3,16354190,16276286
869,0.7500723664058185,0.7278459933389511,0.7614923384410394,0.02227661635595749,0.022799503910390366,1.0,0,-1,,1.0,1.0,0.4154200230149597,sailboats,csrt,r0p15,0.15,8177095,8158225
869,0.4035771285290699,0.3716969429052167,0.4042153715704681,0.06302510325385778,0.03569383745897196,1.0,297,572,19.085733333333334,0.5926352128883774,0.33141542002301494,0.20598388952819333,sailboats,csrt,r0p08,0.08,4361117,4371417
869,0.3986028052097212,0.4029464074595717,0.39422203379565135,0.060202350153457616,0.029308642736797334,1.0,321,548,18.284933333333335,0.5799769850402762,0.3670886075949367,0.20598388952819333,sailboats,csrt,r0p04,0.04,2180558,2204805
869,0.4147553209996087,0.4525500920109796,0.4072436557446551,0.06144901713280043,0.028706787878797074,1.0,293,576,19.2192,0.5983889528193326,0.35097813578826237,0.20598388952819333,sailboats,csrt,r0p02,0.02,1090279,1112194
869,0.9911126865318338,1.0,1.0,0.002544567782178107,0.0,1.0,0,-1,,1.0,1.0,1.0,sailboats,kcf,r0p3,0.3,16354190,16276286
869,0.979918648976903,0.9858657243816255,0.995154745321301,0.006208141319567934,0.005866894045810986,1.0,0,-1,,1.0,1.0,1.0,sailboats,kcf,r0p15,0.15,8177095,8158225
869,0.9557509637822091,0.9657828443010674,0.9729271394827691,0.011737658805772702,0.008297041128591856,1.0,0,-1,,1.0,1.0,1.0,sailboats,kcf,r0p08,0.08,4361117,4371417
869,0.9659515506594483,0.9657828443010674,0.9846163163951305,0.010007081146334574,0.011733788091621972,1.0,0,-1,,1.0,1.0,1.0,sailboats,kcf,r0p04,0.04,2180558,2204805
869,0.9656503402330223,0.9657828443010674,0.9861910241657078,0.009759834073733039,0.008297041128591856,1.0,0,-1,,1.0,1.0,1.0,sailboats,kcf,r0p02,0.02,1090279,1112194
607,0.7104567793595432,0.7603940557689096,0.7220150871412467,0.03125043509550153,0.03268602252303067,1.0,0,-1,,1.0,0.8731466227347611,0.5123558484349259,traffic,csrt,r0p3,0.3,9670595,9693418
607,0.6612034431058752,0.6254555649004766,0.6690366773606174,0.04147391699852833,0.04528067321182225,1.0,0,-1,,1.0,0.8830313014827018,0.3640856672158155,traffic,csrt,r0p15,0.15,4835297,4921908
607,0.6798860686611795,0.7010088272383355,0.6882857886066072,0.05090989485720455,0.05354987464491048,1.0,0,-1,,1.0,0.7907742998352554,0.3525535420098847,traffic,csrt,r0p08,0.08,2578825,2701680
607,0.5923644741320412,0.5446685878962536,0.5973294025838897,0.10072525372990958,0.10415676976136917,1.0,0,-1,,1.0,0.6326194398682042,0.21911037891268534,traffic,csrt,r0p04,0.04,1289412,1359606
